attack_type;target_system;outcome;timestamp;attacker_ip;target_ip;data_compromised_GB;attack_duration_min;security_tools_used;user_role;location;attack_severity;industry;response_time_min;mitigation_method
SQL Injection;Database;Success;40:14.4;106.117.146.155;200.189.52.170;43;165;WAF;Employee;UK;5;Government;13;Quarantine
Malware;API;Failure;04:23.4;12.197.69.63;242.177.211.238;49.15;198;WAF;Admin;Germany;5;Education;85;Quarantine
Cross-Site Scripting;IoT Device;Failure;29:11.4;63.26.135.59;204.133.181.5;24.21;106;IDS;Admin;Canada;1;Government;19;Block IP
Cross-Site Scripting;Database;Success;10:02.4;99.208.142.161;67.238.39.169;66.94;52;WAF;Admin;Canada;4;Energy;152;Block IP
SQL Injection;Web Server;Failure;46:06.4;8.143.143.93;171.78.116.37;76.76;152;SIEM;Admin;USA;6;Retail;100;Block IP
Phishing;Cloud Service;Failure;28:37.4;120.84.11.197;196.94.63.202;42.06;282;Antivirus;Contractor;France;6;Energy;91;Containment
Zero-Day Exploit;API;Failure;47:42.4;64.159.223.117;189.203.153.22;14.33;78;SIEM;Contractor;UK;5;Government;94;Containment
DDoS;Email Server;Success;44:03.4;161.222.48.254;218.20.181.255;27.13;153;IDS;External User;Germany;2;Retail;178;Quarantine
Cross-Site Scripting;IoT Device;Failure;48:52.4;193.225.190.128;86.22.52.201;17.76;16;MFA;Employee;USA;1;Energy;87;Patch
Zero-Day Exploit;Email Server;Failure;11:44.4;98.173.26.226;100.197.65.59;60.3;140;SIEM;Employee;China;3;Technology;54;Patch
SQL Injection;Email Server;Failure;14:09.4;10.113.227.8;124.248.120.112;16.42;277;IDS;Contractor;Canada;1;Manufacturing;100;Reset Credentials
DDoS;User Account;Failure;56:53.4;83.253.35.131;242.153.13.20;40.7;218;Firewall;Employee;Russia;8;Government;152;Reset Credentials
Brute Force;Web Server;Success;59:38.4;231.119.245.169;174.151.165.2;58.12;107;Firewall;Employee;India;2;Finance;160;Quarantine
Ransomware;Network Switch;Failure;44:22.4;103.134.212.142;77.110.209.43;47.41;209;SIEM;External User;UK;1;Energy;84;Reset Credentials
Phishing;Database;Failure;23:30.4;63.234.190.144;158.23.14.202;28.03;43;IDS;Employee;France;1;Technology;89;Block IP
Cross-Site Scripting;Database;Failure;59:20.4;203.31.143.214;226.35.228.127;77.54;279;MFA;Contractor;Australia;2;Manufacturing;156;Block IP
Brute Force;Email Server;Success;37:50.4;233.164.198.252;160.216.189.132;54.58;152;Antivirus;External User;Russia;6;Education;17;Quarantine
Malware;Web Server;Success;42:59.4;108.51.122.173;127.121.153.143;27.43;224;Antivirus;External User;India;9;Government;139;Containment
Brute Force;IoT Device;Success;28:16.4;190.117.154.56;251.251.117.193;52.79;4;MFA;External User;Australia;10;Healthcare;62;Patch
Malware;Email Server;Failure;03:47.4;238.77.214.78;131.215.91.135;95.13;232;VPN;Employee;USA;7;Government;20;Patch
Zero-Day Exploit;Web Server;Success;34:21.4;79.127.20.134;2.213.204.112;51.47;101;Endpoint Detection;External User;China;8;Manufacturing;106;Patch
Brute Force;IoT Device;Failure;41:06.4;191.205.237.30;79.240.16.202;91.4;197;SIEM;External User;Canada;8;Technology;20;Containment
SQL Injection;IoT Device;Success;44:19.4;45.22.106.36;16.221.197.185;81.34;292;Antivirus;Contractor;Brazil;10;Government;48;Block IP
SQL Injection;Network Switch;Success;11:20.4;27.243.240.8;57.26.186.111;89;91;SIEM;Admin;France;7;Healthcare;157;Containment
Brute Force;User Account;Success;39:34.4;115.27.164.60;81.237.249.251;58.71;208;Endpoint Detection;Contractor;Russia;3;Technology;162;Containment
Malware;Web Server;Failure;16:26.4;145.89.236.114;8.245.2.236;30;264;Firewall;Contractor;China;1;Energy;110;Containment
DDoS;API;Success;13:21.4;107.221.112.224;159.162.62.94;26.09;116;Antivirus;Contractor;USA;7;Manufacturing;50;Containment
Malware;Cloud Service;Failure;43:13.4;193.70.161.19;154.67.199.189;73.22;210;MFA;External User;China;5;Retail;78;Patch
Cross-Site Scripting;Web Server;Success;14:50.4;165.197.250.181;102.191.1.44;69.4;249;SIEM;External User;India;4;Government;13;Reset Credentials
Phishing;IoT Device;Failure;31:50.4;182.43.246.154;34.63.253.133;18.39;137;Firewall;Contractor;UK;9;Finance;106;Block IP
Brute Force;Cloud Service;Success;51:03.4;180.214.156.182;172.205.248.104;90.03;67;Firewall;Admin;China;8;Finance;15;Reset Credentials
Ransomware;IoT Device;Success;02:50.4;142.195.130.148;170.106.108.248;93.79;135;VPN;Contractor;Germany;10;Finance;179;Patch
DDoS;Email Server;Success;01:56.4;221.151.242.162;102.92.154.53;29.03;183;Endpoint Detection;External User;Russia;7;Retail;57;Containment
Malware;User Account;Success;42:35.4;253.3.189.159;9.175.36.81;68.21;212;VPN;Contractor;Germany;1;Healthcare;134;Block IP
Zero-Day Exploit;Network Switch;Failure;50:50.4;165.19.28.65;64.130.151.141;23.81;202;VPN;Contractor;Brazil;10;Government;58;Reset Credentials
Cross-Site Scripting;Database;Failure;20:42.4;44.180.130.201;164.167.99.66;57.06;260;Antivirus;Admin;France;1;Education;71;Containment
Malware;Database;Failure;55:10.4;231.109.79.111;210.14.19.142;84.94;195;VPN;Contractor;Brazil;2;Government;79;Containment
Cross-Site Scripting;Web Server;Failure;33:39.4;55.92.235.33;67.253.225.6;44.18;179;MFA;External User;Brazil;1;Retail;167;Quarantine
SQL Injection;API;Failure;15:50.4;154.110.24.242;121.83.1.140;85.14;4;IDS;Admin;Canada;8;Education;180;Quarantine
Phishing;Database;Failure;39:17.4;229.83.15.223;237.5.47.208;41.03;298;VPN;Admin;Brazil;6;Healthcare;72;Quarantine
Cross-Site Scripting;Cloud Service;Success;51:22.4;86.113.238.46;217.202.42.130;92.8;158;MFA;Contractor;France;5;Technology;149;Block IP
DDoS;User Account;Success;29:14.4;231.156.96.161;41.61.109.123;73.43;70;MFA;Employee;Brazil;2;Finance;67;Reset Credentials
Phishing;Network Switch;Success;46:33.4;162.8.210.242;88.204.172.55;89.04;39;MFA;External User;Russia;8;Healthcare;52;Quarantine
Cross-Site Scripting;Cloud Service;Failure;35:12.4;38.4.36.71;1.59.106.108;70.65;12;SIEM;Contractor;UK;7;Healthcare;13;Quarantine
Malware;Database;Success;57:42.4;52.79.165.138;182.182.147.15;6.18;228;SIEM;Employee;UK;4;Finance;168;Containment
Ransomware;Cloud Service;Failure;53:52.4;136.44.174.62;8.211.59.116;8.53;204;IDS;Admin;UK;1;Education;25;Patch
DDoS;IoT Device;Failure;28:21.4;51.245.211.119;107.48.25.246;92.43;154;IDS;External User;Germany;5;Education;120;Reset Credentials
SQL Injection;Web Server;Success;45:34.4;86.254.251.242;42.5.122.128;60.18;24;SIEM;Contractor;Brazil;8;Technology;144;Patch
Malware;Web Server;Success;05:42.4;147.99.95.127;181.176.113.12;50.45;196;IDS;Contractor;Canada;7;Retail;112;Patch
Cross-Site Scripting;IoT Device;Failure;23:41.4;214.38.115.60;47.226.109.46;25.77;195;Antivirus;External User;France;7;Energy;171;Quarantine
Phishing;Web Server;Failure;31:54.4;33.237.227.181;29.237.111.127;88.59;276;WAF;Admin;UK;1;Manufacturing;177;Patch
SQL Injection;Cloud Service;Failure;00:56.4;100.21.105.183;94.121.66.34;57.47;214;Endpoint Detection;Admin;Canada;10;Technology;60;Block IP
Cross-Site Scripting;Web Server;Success;26:36.4;95.101.226.198;231.78.54.40;40.51;15;IDS;Contractor;Brazil;1;Technology;36;Block IP
SQL Injection;IoT Device;Failure;47:10.4;71.232.32.244;57.8.174.199;24.49;135;IDS;Admin;UK;7;Retail;141;Reset Credentials
DDoS;IoT Device;Success;08:44.4;7.211.244.130;188.69.116.204;43.34;64;Firewall;Contractor;India;3;Finance;94;Reset Credentials
Malware;User Account;Success;32:26.4;49.219.235.205;28.37.165.107;79.43;125;MFA;Employee;China;5;Finance;53;Quarantine
Phishing;Network Switch;Failure;42:55.4;58.244.206.135;13.216.2.84;41.45;53;Firewall;Contractor;Brazil;8;Healthcare;79;Block IP
Cross-Site Scripting;Web Server;Success;06:53.4;249.78.214.141;55.224.8.51;52.48;252;Antivirus;Contractor;Russia;8;Retail;41;Patch
Malware;IoT Device;Success;52:47.4;159.171.230.144;215.232.97.11;63.48;112;SIEM;Contractor;Australia;10;Manufacturing;56;Containment
Phishing;Cloud Service;Failure;18:35.4;117.59.195.109;3.102.127.114;34.46;22;Antivirus;Employee;India;5;Finance;71;Quarantine
Phishing;User Account;Success;11:07.4;165.52.57.247;62.105.33.158;31.9;74;WAF;Employee;France;9;Energy;50;Reset Credentials
Ransomware;Web Server;Success;20:11.4;120.191.131.77;255.127.87.254;52.45;257;Endpoint Detection;Employee;Germany;7;Manufacturing;148;Patch
Ransomware;API;Failure;07:57.4;70.37.129.192;12.143.129.30;10.09;247;WAF;Contractor;Brazil;8;Technology;90;Containment
Brute Force;Web Server;Success;56:15.4;212.109.116.139;105.187.119.35;17.71;244;VPN;Employee;Australia;2;Healthcare;58;Block IP
Malware;IoT Device;Success;57:57.4;247.219.202.43;72.89.28.113;79.64;197;WAF;Admin;UK;6;Finance;70;Containment
Brute Force;User Account;Success;17:15.4;192.138.163.112;194.12.223.77;1.92;52;Firewall;Employee;Australia;7;Education;115;Quarantine
Ransomware;Web Server;Success;08:40.4;254.252.165.182;29.192.31.50;55.08;95;Endpoint Detection;Admin;France;7;Education;33;Patch
Cross-Site Scripting;Database;Failure;21:58.4;29.219.25.79;231.157.135.176;85.32;240;WAF;Admin;UK;2;Finance;41;Containment
Phishing;Network Switch;Failure;21:23.4;137.147.158.167;64.230.20.149;88.52;125;VPN;Employee;Australia;3;Education;180;Reset Credentials
Malware;User Account;Success;06:14.4;184.181.238.67;32.207.93.224;31.37;217;SIEM;Contractor;UK;5;Retail;67;Block IP
Cross-Site Scripting;API;Success;34:02.4;130.140.241.69;186.49.200.238;51.72;106;SIEM;Employee;Germany;2;Healthcare;121;Patch
Zero-Day Exploit;User Account;Success;07:57.4;183.252.92.32;22.208.250.217;48.28;260;WAF;Employee;India;2;Finance;153;Quarantine
Zero-Day Exploit;API;Failure;28:56.4;222.232.136.205;62.44.234.48;41.34;133;SIEM;Employee;Brazil;9;Manufacturing;109;Patch
Malware;User Account;Success;35:38.4;118.26.172.192;29.193.159.161;61.15;12;Firewall;External User;France;6;Energy;15;Patch
Phishing;User Account;Failure;23:19.4;87.102.223.234;49.53.219.62;58.68;266;SIEM;Admin;UK;2;Energy;153;Patch
Zero-Day Exploit;Network Switch;Failure;17:07.4;32.119.52.92;122.182.177.129;49.12;274;SIEM;Admin;India;2;Healthcare;28;Patch
SQL Injection;API;Success;21:32.4;240.234.42.15;217.225.184.177;14.21;4;SIEM;Contractor;Brazil;3;Energy;37;Quarantine
Ransomware;User Account;Failure;57:36.4;101.146.65.113;142.177.238.188;86.98;64;Antivirus;Admin;Canada;1;Energy;4;Block IP
DDoS;Network Switch;Failure;21:47.4;146.190.190.102;47.136.39.233;77;277;MFA;Admin;Canada;4;Education;59;Quarantine
SQL Injection;Web Server;Success;49:59.4;38.31.12.253;31.88.157.198;1.8;98;WAF;External User;France;9;Government;150;Quarantine
Cross-Site Scripting;IoT Device;Failure;15:12.4;247.92.66.95;49.120.184.164;5.03;251;Endpoint Detection;Admin;Russia;4;Education;168;Containment
Phishing;Network Switch;Success;00:19.4;190.168.238.91;5.132.225.199;56.46;76;WAF;Contractor;India;7;Manufacturing;172;Block IP
Zero-Day Exploit;Database;Success;04:19.4;38.79.184.126;185.179.129.26;42.5;54;Firewall;Employee;France;1;Education;69;Containment
Brute Force;User Account;Success;10:47.4;68.58.142.227;124.158.122.37;21.33;288;IDS;Admin;Canada;9;Healthcare;39;Quarantine
Malware;Cloud Service;Failure;38:38.4;97.18.51.56;167.79.35.99;28.95;172;VPN;Employee;USA;3;Finance;98;Patch
Phishing;Web Server;Failure;53:26.4;149.68.152.67;74.224.148.153;46.62;135;SIEM;Contractor;Australia;5;Education;103;Block IP
Ransomware;Database;Failure;41:38.4;112.97.0.164;23.155.1.37;93.48;46;Endpoint Detection;Admin;China;5;Government;174;Patch
Zero-Day Exploit;IoT Device;Success;18:07.4;251.145.12.67;81.98.157.144;17;34;IDS;Employee;Brazil;10;Manufacturing;54;Containment
Ransomware;Cloud Service;Success;14:01.4;143.47.130.243;88.62.79.127;60.41;1;VPN;External User;UK;10;Finance;46;Block IP
SQL Injection;Cloud Service;Failure;54:17.4;51.199.105.20;22.126.232.226;89.76;239;MFA;Contractor;Australia;3;Manufacturing;122;Reset Credentials
Phishing;IoT Device;Success;56:20.4;174.156.145.117;254.132.113.200;74.37;186;WAF;External User;Australia;3;Government;155;Reset Credentials
Ransomware;Database;Failure;25:22.4;173.182.197.242;125.81.227.47;35.6;180;Endpoint Detection;Employee;India;1;Technology;66;Patch
Zero-Day Exploit;User Account;Success;29:47.4;116.213.13.179;176.88.138.142;0.94;191;IDS;External User;Germany;1;Energy;24;Quarantine
Malware;IoT Device;Failure;51:12.4;181.130.121.184;22.107.148.122;83.36;131;Antivirus;Contractor;India;10;Government;99;Block IP
Phishing;Web Server;Failure;32:05.4;39.0.106.255;81.225.89.88;29.84;202;WAF;Contractor;Russia;4;Manufacturing;157;Patch
Brute Force;Cloud Service;Success;29:58.4;65.17.254.177;31.133.104.68;48;212;Antivirus;Admin;Germany;9;Healthcare;173;Quarantine
Phishing;Cloud Service;Failure;07:17.4;175.222.31.42;152.104.84.131;53.47;256;SIEM;Employee;Brazil;9;Manufacturing;11;Reset Credentials
Ransomware;Web Server;Failure;22:14.4;69.193.36.40;40.232.102.106;69.24;275;MFA;Contractor;Australia;1;Retail;143;Patch
Malware;IoT Device;Failure;09:00.4;83.29.10.160;255.233.155.56;87.61;24;IDS;Employee;Australia;1;Energy;10;Quarantine
Ransomware;API;Failure;53:18.4;109.220.208.236;177.11.189.172;30.04;158;WAF;External User;Australia;2;Retail;172;Quarantine
Brute Force;Web Server;Failure;50:54.4;182.67.112.118;198.58.103.158;66.51;290;Firewall;Contractor;Australia;3;Technology;19;Containment
Ransomware;Network Switch;Failure;01:43.4;183.166.231.37;53.129.202.134;81.57;169;IDS;Admin;USA;2;Government;42;Quarantine
DDoS;Web Server;Success;29:25.4;127.15.211.75;4.85.233.114;34.54;198;Antivirus;Contractor;India;3;Government;152;Containment
Malware;Email Server;Success;00:22.4;75.183.228.114;211.134.126.169;50.82;255;Firewall;Admin;Canada;2;Government;153;Containment
Zero-Day Exploit;API;Success;30:31.4;216.162.33.238;40.18.255.83;25.34;169;SIEM;Employee;India;6;Education;106;Block IP
Zero-Day Exploit;Network Switch;Failure;07:15.4;176.18.194.171;127.166.154.83;22.25;96;MFA;Contractor;Brazil;2;Energy;107;Quarantine
DDoS;Database;Success;28:35.4;101.116.173.75;177.161.96.234;26.29;268;SIEM;External User;France;1;Government;16;Quarantine
Zero-Day Exploit;Cloud Service;Success;03:24.4;250.49.123.164;85.171.150.246;27.95;130;WAF;Employee;Australia;4;Retail;178;Quarantine
Zero-Day Exploit;IoT Device;Success;57:09.4;6.48.71.185;213.152.34.173;61.45;222;Endpoint Detection;Admin;Australia;10;Education;15;Reset Credentials
Malware;Cloud Service;Success;50:01.4;200.176.213.238;131.250.6.129;26.87;136;VPN;Contractor;Russia;7;Government;87;Reset Credentials
Zero-Day Exploit;Database;Success;36:36.4;38.58.251.227;62.220.6.14;30.05;140;WAF;Admin;Germany;5;Finance;82;Patch
SQL Injection;User Account;Success;10:10.4;193.165.51.152;226.126.18.57;57.18;32;Firewall;Admin;Canada;3;Energy;110;Patch
Ransomware;API;Success;50:32.4;146.145.191.232;149.115.96.106;80.37;55;Endpoint Detection;Employee;Australia;1;Energy;22;Block IP
Zero-Day Exploit;API;Failure;08:37.4;170.130.37.146;17.6.71.200;68.67;133;WAF;External User;Canada;8;Retail;160;Patch
SQL Injection;Web Server;Failure;39:00.4;122.25.35.9;143.205.212.80;35.44;287;IDS;Employee;Brazil;7;Healthcare;93;Block IP
Ransomware;Cloud Service;Failure;49:14.4;67.77.147.41;67.229.122.166;78.21;136;Endpoint Detection;Admin;Brazil;4;Government;162;Patch
Cross-Site Scripting;Cloud Service;Failure;02:15.4;76.152.6.29;202.194.164.36;0.84;230;IDS;External User;Russia;10;Manufacturing;49;Containment
SQL Injection;IoT Device;Success;03:29.4;192.167.25.20;157.54.46.44;98.56;144;MFA;Employee;Canada;7;Government;172;Patch
Ransomware;IoT Device;Failure;00:58.4;29.77.231.78;181.243.172.188;94.34;122;MFA;Contractor;Germany;3;Manufacturing;160;Patch
Brute Force;IoT Device;Failure;34:29.4;132.90.0.140;59.208.176.191;49.61;153;WAF;Admin;Canada;5;Technology;42;Block IP
Zero-Day Exploit;Web Server;Success;52:37.4;45.165.50.14;183.138.228.189;96.49;52;WAF;Admin;India;3;Healthcare;112;Containment
Cross-Site Scripting;Network Switch;Success;50:13.4;136.161.237.7;155.60.241.73;40.78;167;MFA;Admin;Canada;2;Retail;102;Reset Credentials
SQL Injection;IoT Device;Failure;37:02.4;133.160.190.142;100.149.146.77;32.32;147;Endpoint Detection;Employee;China;10;Education;84;Quarantine
Ransomware;Network Switch;Success;21:57.4;190.148.29.27;180.184.80.184;53.83;106;MFA;Employee;Australia;1;Government;15;Quarantine
Brute Force;API;Success;28:23.4;143.153.221.118;35.52.76.45;91.68;241;IDS;Contractor;Germany;8;Healthcare;16;Block IP
Brute Force;Cloud Service;Failure;11:21.4;165.196.84.163;241.255.252.234;26.51;37;Endpoint Detection;Admin;Russia;3;Energy;122;Reset Credentials
Phishing;User Account;Success;09:08.4;51.83.216.2;178.141.219.122;5.5;140;Endpoint Detection;Admin;Australia;6;Manufacturing;122;Containment
Malware;User Account;Failure;23:19.4;10.196.155.230;18.96.33.216;83.88;121;Antivirus;Employee;USA;7;Retail;153;Quarantine
DDoS;User Account;Success;19:05.4;169.75.122.28;251.16.177.203;51.5;258;WAF;Admin;France;10;Manufacturing;161;Containment
Zero-Day Exploit;Email Server;Failure;55:58.4;209.59.54.30;53.25.160.46;7.35;257;WAF;Admin;India;1;Manufacturing;65;Patch
SQL Injection;Database;Failure;28:03.4;194.96.33.124;131.24.136.91;61.6;42;WAF;Employee;France;9;Technology;59;Reset Credentials
Malware;User Account;Failure;35:45.4;203.114.136.163;71.192.176.247;50;211;Firewall;External User;France;8;Technology;99;Reset Credentials
Brute Force;IoT Device;Success;45:38.4;127.201.90.221;48.49.236.59;13.51;283;MFA;Contractor;USA;1;Manufacturing;122;Quarantine
Zero-Day Exploit;Web Server;Success;00:15.4;10.39.228.165;187.198.52.204;49.02;20;SIEM;External User;Brazil;1;Education;131;Containment
DDoS;Network Switch;Failure;31:58.4;40.194.199.217;149.185.146.96;64.84;163;IDS;Admin;Germany;1;Government;91;Containment
DDoS;Database;Success;17:43.4;152.184.101.227;216.150.162.139;55.27;183;VPN;External User;Brazil;3;Education;166;Containment
Zero-Day Exploit;Cloud Service;Failure;37:29.4;84.24.134.58;66.42.126.117;51.58;152;IDS;Contractor;France;3;Retail;72;Block IP
Ransomware;Email Server;Success;26:36.4;188.220.198.179;94.150.57.67;71.35;251;VPN;Contractor;China;4;Education;31;Reset Credentials
Cross-Site Scripting;Database;Failure;12:44.4;235.108.138.82;37.94.136.54;60.53;263;WAF;Admin;Australia;4;Government;171;Quarantine
Malware;IoT Device;Success;51:43.4;111.74.76.230;61.22.176.78;77.22;292;IDS;Contractor;UK;2;Finance;94;Reset Credentials
DDoS;User Account;Failure;31:17.4;102.113.78.96;163.183.234.54;77.29;202;Firewall;Contractor;Australia;10;Retail;109;Block IP
Zero-Day Exploit;Network Switch;Success;51:58.4;106.160.170.210;69.196.179.140;11.18;85;SIEM;Admin;Canada;2;Energy;128;Reset Credentials
Ransomware;Database;Failure;31:00.4;228.7.180.219;243.211.75.189;82.49;48;Firewall;Admin;Brazil;10;Technology;139;Containment
Malware;Web Server;Success;57:03.4;28.75.171.82;234.51.38.70;76.35;69;WAF;Contractor;Canada;3;Energy;157;Reset Credentials
Malware;Database;Success;04:48.4;253.49.46.183;238.51.112.56;69.6;54;SIEM;Employee;Brazil;8;Manufacturing;20;Quarantine
Ransomware;Network Switch;Failure;25:41.4;168.106.230.207;146.190.185.149;48.14;119;WAF;External User;Germany;9;Healthcare;173;Block IP
Malware;Email Server;Success;20:32.4;218.108.185.30;29.62.245.143;29.56;76;WAF;Admin;Australia;1;Finance;18;Patch
Phishing;Cloud Service;Success;39:20.4;77.118.172.154;221.67.212.216;45.59;147;WAF;Admin;Canada;4;Manufacturing;138;Reset Credentials
DDoS;Database;Success;49:58.4;216.149.109.123;142.245.216.114;79.49;188;IDS;Contractor;France;5;Manufacturing;61;Containment
Phishing;IoT Device;Failure;24:42.4;251.153.31.157;51.197.29.233;46.38;28;WAF;Admin;Canada;1;Technology;87;Block IP
DDoS;Cloud Service;Failure;05:58.4;78.127.69.215;162.30.128.150;49.78;167;Endpoint Detection;Employee;Russia;10;Finance;64;Containment
Brute Force;Database;Success;01:24.4;195.139.2.246;235.133.198.252;62.06;111;MFA;Contractor;Australia;4;Government;98;Containment
DDoS;Email Server;Failure;13:39.4;27.174.80.177;255.28.60.60;87.01;140;MFA;Employee;China;10;Energy;42;Block IP
Cross-Site Scripting;User Account;Success;31:58.4;223.37.173.186;103.3.129.209;69.59;126;VPN;Admin;Russia;2;Finance;159;Patch
Cross-Site Scripting;Email Server;Success;27:06.4;110.131.203.114;32.201.225.245;74.27;279;SIEM;External User;USA;3;Healthcare;112;Containment
SQL Injection;Cloud Service;Success;57:37.4;101.69.23.74;91.188.247.112;68.61;107;MFA;Admin;UK;4;Energy;84;Block IP
Cross-Site Scripting;IoT Device;Success;14:29.4;192.174.142.103;191.136.168.30;61.87;85;WAF;Admin;Russia;5;Manufacturing;20;Containment
Ransomware;Email Server;Failure;07:54.4;51.82.169.158;214.157.62.254;5.06;1;MFA;External User;Canada;10;Finance;50;Containment
Malware;Email Server;Failure;06:30.4;91.138.213.19;234.123.94.144;62.81;81;Endpoint Detection;External User;France;9;Education;29;Block IP
Ransomware;Web Server;Failure;26:18.4;196.241.247.179;76.157.252.15;93.56;286;VPN;Contractor;Canada;4;Government;120;Block IP
SQL Injection;Database;Failure;02:51.4;201.234.102.189;135.33.19.221;41.47;112;WAF;Employee;Germany;6;Technology;46;Containment
Cross-Site Scripting;Web Server;Failure;00:00.4;141.99.233.127;144.169.127.163;99.67;248;SIEM;External User;USA;3;Retail;65;Patch
Phishing;API;Failure;40:11.4;115.176.216.75;132.9.79.209;0.52;270;SIEM;Contractor;Australia;5;Healthcare;129;Block IP
SQL Injection;Email Server;Success;40:43.4;131.31.168.41;152.201.35.108;48.16;158;Antivirus;Employee;USA;10;Education;150;Reset Credentials
Brute Force;Network Switch;Success;31:46.4;5.137.70.157;22.128.49.136;6.4;245;Antivirus;Employee;UK;6;Government;89;Block IP
Ransomware;Web Server;Success;31:04.4;35.203.157.112;166.142.250.203;69.3;190;WAF;Admin;UK;5;Energy;21;Patch
Ransomware;Web Server;Failure;45:11.4;47.22.4.50;54.92.229.6;1.26;249;WAF;Employee;UK;10;Finance;156;Quarantine
Phishing;API;Failure;54:09.4;56.166.217.134;170.220.224.159;22.74;144;VPN;Admin;France;6;Technology;177;Reset Credentials
Cross-Site Scripting;User Account;Success;25:00.4;153.69.164.149;182.102.113.168;4.48;18;SIEM;Employee;India;7;Technology;96;Containment
SQL Injection;Database;Failure;41:47.4;177.217.161.37;69.46.255.83;4.43;95;MFA;External User;China;1;Finance;15;Patch
Malware;Cloud Service;Success;15:49.4;158.35.121.197;169.81.97.237;22.96;33;IDS;Admin;UK;7;Healthcare;67;Quarantine
Malware;User Account;Failure;20:56.4;233.75.57.164;189.240.20.129;82.73;25;Endpoint Detection;Contractor;USA;10;Retail;67;Patch
Ransomware;Network Switch;Success;15:44.4;23.34.227.147;185.110.82.28;91.71;19;WAF;Admin;China;3;Technology;172;Quarantine
Phishing;Database;Failure;30:10.4;18.133.168.172;6.100.209.161;97.17;38;Endpoint Detection;Employee;China;5;Government;49;Block IP
Cross-Site Scripting;Network Switch;Success;02:50.4;55.180.209.240;240.175.238.194;57.69;36;IDS;External User;India;5;Energy;18;Quarantine
Ransomware;User Account;Success;18:33.4;140.32.186.87;166.161.165.94;45.13;54;Firewall;External User;India;9;Energy;21;Reset Credentials
Ransomware;API;Failure;10:37.4;179.154.109.244;162.235.66.147;26.69;52;VPN;Contractor;France;6;Government;4;Quarantine
Cross-Site Scripting;Cloud Service;Success;17:32.4;237.49.235.11;180.167.84.183;69.93;268;Firewall;Contractor;Germany;4;Manufacturing;17;Block IP
Zero-Day Exploit;Cloud Service;Failure;22:14.4;129.246.170.162;80.141.54.17;23.26;242;MFA;External User;Russia;9;Finance;130;Containment
SQL Injection;Email Server;Success;13:09.4;114.2.230.59;241.233.153.171;3.19;193;SIEM;Admin;USA;10;Healthcare;114;Reset Credentials
Cross-Site Scripting;Email Server;Success;12:01.4;11.43.68.230;43.25.131.137;52.9;284;WAF;Admin;USA;3;Education;168;Block IP
Cross-Site Scripting;Web Server;Success;37:15.4;240.145.23.51;70.96.111.194;15.67;257;MFA;Admin;UK;5;Technology;7;Patch
Ransomware;Web Server;Failure;23:47.4;22.179.251.77;102.237.36.68;41.09;240;Endpoint Detection;External User;France;2;Finance;14;Block IP
Brute Force;IoT Device;Success;06:04.4;67.211.194.208;140.201.35.23;44.61;162;WAF;Contractor;China;8;Healthcare;17;Block IP
Brute Force;Email Server;Failure;57:12.4;182.22.142.207;101.19.137.201;44.87;67;Antivirus;Employee;USA;9;Government;161;Patch
Cross-Site Scripting;API;Failure;40:14.4;182.225.102.24;113.7.189.160;44.77;63;SIEM;Admin;Russia;8;Technology;83;Patch
Malware;API;Success;01:37.4;35.105.74.32;58.234.224.86;39.56;27;IDS;External User;Germany;5;Healthcare;68;Containment
Brute Force;Cloud Service;Failure;50:47.4;171.35.39.50;16.125.47.123;67.75;21;Firewall;External User;Canada;10;Finance;88;Containment
Cross-Site Scripting;Database;Success;42:56.4;38.226.8.112;174.190.42.52;0.31;161;WAF;External User;Canada;6;Education;33;Reset Credentials
Phishing;Web Server;Success;52:04.4;165.128.129.249;26.254.106.51;88.71;143;Antivirus;Contractor;Australia;8;Technology;180;Quarantine
Phishing;API;Success;41:17.4;249.21.57.6;237.47.249.86;68.76;218;IDS;Contractor;Germany;3;Retail;153;Quarantine
Ransomware;User Account;Success;02:05.4;52.40.53.179;79.183.174.149;95.47;187;Endpoint Detection;Employee;UK;1;Healthcare;23;Quarantine
Cross-Site Scripting;Web Server;Success;19:22.4;100.104.65.57;121.120.183.116;80.51;292;Antivirus;Contractor;Australia;10;Manufacturing;106;Containment
Zero-Day Exploit;Web Server;Failure;53:22.4;56.111.70.91;53.207.100.186;78.5;85;VPN;Employee;Russia;3;Government;171;Quarantine
DDoS;Cloud Service;Failure;23:59.4;91.139.64.253;174.109.206.121;68.58;121;Firewall;Admin;USA;5;Retail;163;Quarantine
DDoS;Database;Failure;22:36.4;65.228.207.58;87.5.29.48;44.75;236;Endpoint Detection;Contractor;Canada;6;Education;33;Patch
Phishing;Database;Success;11:04.4;254.168.220.88;198.76.54.188;64.23;217;SIEM;Contractor;UK;8;Finance;36;Block IP
SQL Injection;API;Failure;54:48.4;118.93.222.178;84.13.183.54;38.32;157;WAF;Contractor;France;3;Technology;1;Reset Credentials
Phishing;Email Server;Failure;02:22.4;72.150.248.25;7.21.192.197;98.59;14;SIEM;Employee;China;5;Healthcare;101;Patch
Phishing;IoT Device;Success;18:06.4;247.204.59.164;59.101.104.89;84.16;44;Endpoint Detection;Employee;Australia;10;Education;30;Reset Credentials
Ransomware;API;Success;01:41.4;59.59.160.65;180.235.150.167;18.82;83;Firewall;Admin;Canada;9;Finance;165;Containment
